Full Text,Author,Creation Time,Hashtags,text,is_road_closure
"""I can't think of any better representation of Beauty than someone who is unafraid to be herself."" -Emma Stone She has a sweet, kind, loving soul and is on FIRE. Than you… https://www.instagram.com/p/BqtSBj0BlxH/?utm_source=ig_twitter_share&igshid=mv3cbqpt19ub …",BesameMuchoCP,Wed Nov 28 02:38:16 +0000 2018,,i can t think of any better representation of beauty than someone who is unafraid to be herself emma stone she ha a sweet kind loving soul and is on fire than you http www instagram com p bqtsbj0blxh utm source ig twitter share igshid mv3cbqpt19ub,0
LadyRocket Fashion createe by me with Space technology to remind us and contribute to using Space to support Earth and Oceans and prevent fires using new technology First Space… https://www.instagram.com/p/BqtKPCcHVsQ/?utm_source=ig_twitter_share&igshid=19ygi8sv06xu3 …,LadyRocketSpace,Wed Nov 28 01:30:10 +0000 2018,,ladyrocket fashion createe by me with space technology to remind u and contribute to using space to support earth and ocean and prevent fire using new technology first space http www instagram com p bqtkpcchvsq utm source ig twitter share igshid 19ygi8sv06xu3,0
"Today is #GivingTuesday and I’m supporting pawworks to “Do Good, Be Good” !! #PawWorks has rescued thousands of animals, including scores of pets displaced by our recent fires. Buy this… https://www.instagram.com/p/BqtDRL4HtNx/?utm_source=ig_twitter_share&igshid=1qvj9v54zh0xn …",bobbydtv,Wed Nov 28 00:44:26 +0000 2018,#GivingTuesday #PawWorks,today is #givingtuesday and i m supporting pawworks to do good be good #pawworks ha rescued thousand of animal including score of pet displaced by our recent fire buy this http www instagram com p bqtdrl4htnx utm source ig twitter share igshid 1qvj9v54zh0xn,0
"#firehouse Art: “Java The Fire Dog” Every firehouse has a dog and sure she brought great relief to #LAFD #engine 3 in Los Angeles, helping heal the first responders hearts as they battled… https://www.instagram.com/p/BqszRWTgwhW/?utm_source=ig_twitter_share&igshid=15218y56sovh9 …",kellyswanson1,Tue Nov 27 22:09:29 +0000 2018,#firehouse #LAFD #engine,#firehouse art java the fire dog every firehouse ha a dog and sure she brought great relief to #lafd #engine 3 in los angeles helping heal the first responder heart a they battled http www instagram com p bqszrwtgwhw utm source ig twitter share igshid 15218y56sovh9,0
"29497 Canwood st Agoura Hills , CA Fire station look for the mounds of dirt . Free to those in need. I have a 1000 if you need my help... #Sandbags #Rain #Mudslide #WoolseyFire… https://www.instagram.com/p/BqsxT80HWw7/?utm_source=ig_twitter_share&igshid=c0bojxceyntk …",ThatVegasGuy,Tue Nov 27 21:55:25 +0000 2018,#Sandbags #Rain #Mudslide #WoolseyFire,29497 canwood st agoura hill ca fire station look for the mound of dirt free to those in need i have a 1000 if you need my help #sandbags #rain #mudslide #woolseyfire http www instagram com p bqsxt80hww7 utm source ig twitter share igshid c0bojxceyntk,0
"afternoon and a on the patio = #patioperfecton (pictured below) peat, pray, love - glenfiddich fire and cane single malt scotch | lime | cane sugar | pineapple air @Alcove Cafe… https://www.instagram.com/p/Bqso6MbhSrQ/?utm_source=ig_twitter_share&igshid=4hayjnr9kb1t …",AlcoveBigBar,Tue Nov 27 20:39:00 +0000 2018,#patioperfecton,afternoon and a on the patio #patioperfecton pictured below peat pray love glenfiddich fire and cane single malt scotch lime cane sugar pineapple air cafe http www instagram com p bqso6mbhsrq utm source ig twitter share igshid 4hayjnr9kb1t,0
"Fire pjs almost done. When thrifting remember, iron on interfacing leaves a little glue behind when you pull it off the fancy fabrichope a good soak and wash fixes this. Thank you… https://www.instagram.com/p/BqslH1EnEJB/?utm_source=ig_twitter_share&igshid=ke96by26kr4o …",laurendurrdesig,Tue Nov 27 20:05:53 +0000 2018,,fire pjs almost done when thrifting remember iron on interfacing leaf a little glue behind when you pull it off the fancy fabrichope a good soak and wash fix this thank you http www instagram com p bqslh1enejb utm source ig twitter share igshid ke96by26kr4o,0
Trying to Bring that fire FIRE to the Table ____________________ jahmiia socrisp_ ___________________ #laphotography #nightphotography #photomeet #lamodels #laphotographer… https://www.instagram.com/p/BqsipRTgtcb/?utm_source=ig_twitter_share&igshid=rhnpvgj8pgut …,ThisGuyHereII,Tue Nov 27 19:45:08 +0000 2018,#laphotography #nightphotography #photomeet #lamodels #laphotographer,trying to bring that fire fire to the table jahmiia socrisp #laphotography #nightphotography #photomeet #lamodels #laphotographer http www instagram com p bqsiprtgtcb utm source ig twitter share igshid rhnpvgj8pgut,0
"Morning rituals to the fires of Sagittarius, and dreaming up the spaces, and welcome new spirit to our practice in this time of the spiritual new year. Sagittarius “The Teacher” and seeker… https://www.instagram.com/p/BqsbHHAnqrw/?utm_source=ig_twitter_share&igshid=kzdx2pb14qh1 …",Temple_LA,Tue Nov 27 18:47:53 +0000 2018,,morning ritual to the fire of sagittarius and dreaming up the space and welcome new spirit to our practice in this time of the spiritual new year sagittarius the teacher and seeker http www instagram com p bqsbhhanqrw utm source ig twitter share igshid kzdx2pb14qh1,0
Strange devotees worshiping the fire ball. #shotontoothache #shotoniphone #losangeles #californiasun #california #travel #travelblogger #musclebeach @Venice Beach - Venice Boulevard https://www.instagram.com/p/BqsYCsqn4Zn/?utm_source=ig_twitter_share&igshid=l2m27f1q0aac …,satyenpoojary,Tue Nov 27 18:11:36 +0000 2018,#shotontoothache #shotoniphone #losangeles #californiasun #california #travel #travelblogger #musclebeach,strange devotee worshiping the fire ball #shotontoothache #shotoniphone #losangeles #californiasun #california #travel #travelblogger #musclebeach beach venice boulevard http www instagram com p bqsycsqn4zn utm source ig twitter share igshid l2m27f1q0aac,0
"THIS SUNDAY! For people feeling stress from the fire, we're offering free healing on the 2nd and 15th from 12-4. I'll be receiving and giving healing--I need it too! We are in need of… https://www.instagram.com/p/BqsXiBTnpJJ/?utm_source=ig_twitter_share&igshid=1uf1vle2foqez …",MariShintani,Tue Nov 27 18:07:19 +0000 2018,,this sunday for people feeling stress from the fire we re offering free healing on the 2nd and 15th from 12 4 i ll be receiving and giving healing i need it too we are in need of http www instagram com p bqsxibtnpjj utm source ig twitter share igshid 1uf1vle2foqez,0
"Hello Gelato, Grape Ape , Purple Punch !! . . . #clones #clonesonfire #cannabis #weed #weedporn #instaweed #plants #gelato45 #roots #fire #marijuana #cannabiscommunity #weedstagram… https://www.instagram.com/p/BqsXiTsnYAV/?utm_source=ig_twitter_share&igshid=1v9d1hv6wlzji …",Clonesonfire,Tue Nov 27 18:07:10 +0000 2018,#clones #clonesonfire #cannabis #weed #weedporn #instaweed #plants #gelato45 #roots #fire #marijuana #cannabiscommunity #weedstagram,hello gelato grape ape purple punch #clones #clonesonfire #cannabis #weed #weedporn #instaweed #plants #gelato45 #roots #fire #marijuana #cannabiscommunity #weedstagram http www instagram com p bqsxitsnyav utm source ig twitter share igshid 1v9d1hv6wlzji,0
WESTSIDE LOS ANGELES!!! Come on out 12/9!! #Repost @liferollson with get_repost ・・・ Please help us raise funds for people who were impacted by the Malibu fires. Join us for “An Acoustic… https://www.instagram.com/p/BqsQ0bmgrcZ/?utm_source=ig_twitter_share&igshid=1rcyy1monha8y …,ChrisShiflett71,Tue Nov 27 17:09:57 +0000 2018,#Repost,westside los angeles come on out 12 9 #repost with get repost please help u raise fund for people who were impacted by the malibu fire join u for an acoustic http www instagram com p bqsq0bmgrcz utm source ig twitter share igshid 1rcyy1monha8y,0
Yoooooo! Tomorrow you can do your part to support an awesome organization that’s helping find forever homes for homeless and shelter animals. With all that’s gone on with the fires… https://www.instagram.com/p/BqsKKx2ADRs/?utm_source=ig_twitter_share&igshid=1eigjbp7ydra0 …,jairodriguez,Tue Nov 27 16:10:20 +0000 2018,,yoooooo tomorrow you can do your part to support an awesome organization that s helping find forever home for homeless and shelter animal with all that s gone on with the fire http www instagram com p bqskkx2adrs utm source ig twitter share igshid 1eigjbp7ydra0,0
I trap smoke odors. You need a professional. #smoke #soot #fire #tarzana #reseda #woodlandhills #losangeles #24hours #help 818.881.3636 http://ServproTarzanaReseda.com @Servpro of Tarzana/Reseda https://www.instagram.com/p/BqsGUGOhtHQ/?utm_source=ig_twitter_share&igshid=1atv4y4hibe30 …,SERVPROTarzana,Tue Nov 27 15:37:30 +0000 2018,#smoke #soot #fire #tarzana #reseda #woodlandhills #losangeles #24hours #help,i trap smoke odor you need a professional #smoke #soot #fire #tarzana #reseda #woodlandhills #losangeles #24hours #help 818 881 3636 http servprotarzanareseda com of tarzana reseda http www instagram com p bqsgugohthq utm source ig twitter share igshid 1atv4y4hibe30,0
"November 27th is Giving Tuesday and I’m supporting pawworks to “Be Good, Do Good,” to help Paw Works and the tremendous amount of animals displaced by the recent fires in Southern… https://www.instagram.com/p/BqrMCETg8n2/?utm_source=ig_twitter_share&igshid=xeh3uuep1u2w …",theparkerbates,Tue Nov 27 07:07:22 +0000 2018,,november 27th is giving tuesday and i m supporting pawworks to be good do good to help paw work and the tremendous amount of animal displaced by the recent fire in southern http www instagram com p bqrmcetg8n2 utm source ig twitter share igshid xeh3uuep1u2w,0
Trying to do help raise money to support those affected by the terrible fires happening in California. Thanks to my gym buddy @julztocker (judge on @DWTSnz) for asking me to do this.… https://www.instagram.com/p/Bqqv5PZhaLi/?utm_source=ig_twitter_share&igshid=1bp704021oxhn …,VRodriguezIII,Tue Nov 27 03:01:33 +0000 2018,,trying to do help raise money to support those affected by the terrible fire happening in california thanks to my gym buddy judge on for asking me to do this http www instagram com p bqqv5pzhali utm source ig twitter share igshid 1bp704021oxhn,0
Just got this guy and having a draankk at brooklyn . . . . . . . . . . . #drink #fun #besties #guys #friend #fire #lit #mondaymotivation #out #here #igers #monday #motivation #video… https://www.instagram.com/p/BqqvJdeBBxo/?utm_source=ig_twitter_share&igshid=v8m2v6mzsf4f …,Tremont_Turner,Tue Nov 27 03:00:28 +0000 2018,#drink #fun #besties #guys #friend #fire #lit #mondaymotivation #out #here #igers #monday #motivation #video,just got this guy and having a draankk at brooklyn #drink #fun #besties #guys #friend #fire #lit #mondaymotivation #out #here #igers #monday #motivation #video http www instagram com p bqqvjdebbxo utm source ig twitter share igshid v8m2v6mzsf4f,0
Charity classes by @vrodrigueziii and @derekhough Tuesday evening at @JustDanceLA1 5pm proceeds to help Fire victims. Please share @Just Dance Los Angeles https://www.instagram.com/p/BqqsT6jHOWr/?utm_source=ig_twitter_share&igshid=9wixmheejg2e …,TheDanceStew,Tue Nov 27 02:30:10 +0000 2018,,charity class by and tuesday evening at 5pm proceeds to help fire victim please share dance los angeles http www instagram com p bqqst6jhowr utm source ig twitter share igshid 9wixmheejg2e,0
Charity classes by @vrodrigueziii and @derekhough Tuesday evening at @JustDanceLA1 5pm proceeds to help Fire victims. Please share @Just Dance Los Angeles https://www.instagram.com/p/BqqsQmNHpDs/?utm_source=ig_twitter_share&igshid=c28ejonv5dts …,TheDanceStew,Tue Nov 27 02:29:55 +0000 2018,,charity class by and tuesday evening at 5pm proceeds to help fire victim please share dance los angeles http www instagram com p bqqsqmnhpds utm source ig twitter share igshid c28ejonv5dts,0
"presidential pre rolls check them out . These are super dank . Flower-honey oil-keef !! #fire #prerolls #cannabis #weed #nice @Woodland Hills, California https://www.instagram.com/p/BqqqAT2n5Lw/?utm_source=ig_twitter_share&igshid=h6mk22bk5okf …",CSECONDKINGDOM,Tue Nov 27 02:10:02 +0000 2018,#fire #prerolls #cannabis #weed #nice,presidential pre roll check them out these are super dank flower honey oil keef #fire #prerolls #cannabis #weed #nice hill california http www instagram com p bqqqat2n5lw utm source ig twitter share igshid h6mk22bk5okf,0
I will always be a woman who is ignited with fire and can put it out with a frosty touch of love. #women #woman #fierce #sexy #powerful #wise #beautiful #independent #intelligent… https://www.instagram.com/p/BqqbeG6BhTo/?utm_source=ig_twitter_share&igshid=1oy8w8bnpqjie …,tesabellab00,Tue Nov 27 00:03:05 +0000 2018,#women #woman #fierce #sexy #powerful #wise #beautiful #independent #intelligent,i will always be a woman who is ignited with fire and can put it out with a frosty touch of love #women #woman #fierce #sexy #powerful #wise #beautiful #independent #intelligent http www instagram com p bqqbeg6bhto utm source ig twitter share igshid 1oy8w8bnpqjie,0
Honored to be leading last night’s 87th annual Hollywood Christmas Parade with losangelesfiredepartment fire commission and @LAFDwest Deputy Chief Armondo Hogan. Great team work having… https://www.instagram.com/p/BqqbbmVlDr6/?utm_source=ig_twitter_share&igshid=uvxgb4qxb5q6 …,LAFDBANDWAGON,Tue Nov 27 00:02:43 +0000 2018,,honored to be leading last night s 87th annual hollywood christmas parade with losangelesfiredepartment fire commission and deputy chief armondo hogan great team work having http www instagram com p bqqbbmvldr6 utm source ig twitter share igshid uvxgb4qxb5q6,0
Honored to be leading last night’s 87th annual Hollywood Christmas Parade with losangelesfiredepartment fire commission and @LAFDwest Deputy Chief Armondo Hogan. @Hollywood https://www.instagram.com/p/Bqqa0bMFj9z/?utm_source=ig_twitter_share&igshid=161ok609kwklo …,LAFDBANDWAGON,Mon Nov 26 23:57:20 +0000 2018,,honored to be leading last night s 87th annual hollywood christmas parade with losangelesfiredepartment fire commission and deputy chief armondo hogan http www instagram com p bqqa0bmfj9z utm source ig twitter share igshid 161ok609kwklo,0
"Earlier car fire put out and all lanes open in #Sylmar on 210 WB at Roxford St, stopped traffic back to Hubbard St, delay of 16 mins",TotalTrafficLA,Mon Nov 26 23:33:41 +0000 2018,#Sylmar,earlier car fire put out and all lane open in #sylmar on 210 wb at roxford st stopped traffic back to hubbard st delay of 16 min,0
"Car fire blocking the three left lanes in #Sylmar on 210 WB at Roxford St, stopped traffic back to Hubbard St, delay of 16 mins #LAtraffic",TotalTrafficLA,Mon Nov 26 23:19:14 +0000 2018,#Sylmar #LAtraffic,car fire blocking the three left lane in #sylmar on 210 wb at roxford st stopped traffic back to hubbard st delay of 16 min #latraffic,0
"Car fire blocking the three left lanes in #Sylmar on 210 WB at Roxford St, stopped traffic back to Polk St, delay of 10 mins #LAtraffic",TotalTrafficLA,Mon Nov 26 23:16:08 +0000 2018,#Sylmar #LAtraffic,car fire blocking the three left lane in #sylmar on 210 wb at roxford st stopped traffic back to polk st delay of 10 min #latraffic,0
My Sun Gong Speaks frequency B 126.22Hz Fire Element Known as The Heart of Our Universe | Expansion and Contraction Chakra: Solar Plexus and Heart It purifies and cuts all negativity… https://www.instagram.com/p/BqqK7I0HYEl/?utm_source=ig_twitter_share&igshid=mkuatz1eh7n6 …,SoundBathStudio,Mon Nov 26 21:38:29 +0000 2018,,my sun gong speaks frequency b 126 22hz fire element known a the heart of our universe expansion and contraction chakra solar plexus and heart it purifies and cut all negativity http www instagram com p bqqk7i0hyel utm source ig twitter share igshid mkuatz1eh7n6,0
The fires in California are no joke and I’m sure so many of you are either there praying you can avoid the flames or knows someone who is. Jessica _wild.grace_ has… https://www.instagram.com/artbysarahsavage/p/BqqAZD9nPuq/?utm_source=ig_twitter_share&igshid=z089dds7l1wi …,sarahsavageart,Mon Nov 26 20:06:29 +0000 2018,,the fire in california are no joke and i m sure so many of you are either there praying you can avoid the flame or know someone who is jessica wild grace ha http www instagram com artbysarahsavage p bqqazd9npuq utm source ig twitter share igshid z089dds7l1wi,0
"The world is on fire and we’re tear-gassing immigrants looking for refuge, so made oversized orchids out of placemats for my Xmas tree! #yearofthepink #craftybitch… https://www.instagram.com/franciscochu/p/Bqp-xzcHh4Q/?utm_source=ig_twitter_share&igshid=1d7ks0alrzpv7 …",Franciscochu,Mon Nov 26 19:52:31 +0000 2018,#yearofthepink #craftybitch,the world is on fire and we re tear gassing immigrant looking for refuge so made oversized orchid out of placemats for my xmas tree #yearofthepink #craftybitch http www instagram com franciscochu p bqp xzchh4q utm source ig twitter share igshid 1d7ks0alrzpv7,0
Have not been to the dog park in a minute. Definitely can see a difference in Travis when he gets a good workout vs home alone when I'm at the fire station. I… https://www.instagram.com/p/Bqp8dKJlOY6acQ1ooW0z4yPhowV_5HzFLFdpys0/?utm_source=ig_twitter_share&igshid=l7v8g94ywdjb …,Rescue911Jay,Mon Nov 26 19:37:17 +0000 2018,,have not been to the dog park in a minute definitely can see a difference in travis when he get a good workout v home alone when i m at the fire station i http www instagram com p bqp8dkjloy6acq1oow0z4yphowv 5hzflfdpys0 utm source ig twitter share igshid l7v8g94ywdjb,0
"Beverly Hills Police & Fire Department, California : @BeverlyHillsPD Dm me first responders related photos with information to be featured! Go follow: http://emergency.vehicle.photography … https://www.instagram.com/p/Bqp5U_9jI2B/?utm_source=ig_twitter_share&igshid=1sq3yu02495u0 …",police_fire_ems,Mon Nov 26 19:04:44 +0000 2018,,beverly hill police fire department california dm me first responder related photo with information to be featured go follow http emergency vehicle photography http www instagram com p bqp5u 9ji2b utm source ig twitter share igshid 1sq3yu02495u0,0
"Beverly Hills Police & Fire Department, California : @BeverlyHillsPD Dm me first responders related photos with information to be featured! Go follow: http://emergency.vehicle.photography … https://www.instagram.com/p/Bqp5OvtjP_W/?utm_source=ig_twitter_share&igshid=1xkvn8wm47has …",police_fire_ems,Mon Nov 26 19:03:53 +0000 2018,,beverly hill police fire department california dm me first responder related photo with information to be featured go follow http emergency vehicle photography http www instagram com p bqp5ovtjp w utm source ig twitter share igshid 1xkvn8wm47has,0
The last show of my ‘Fire in the Disco’ tour is this Wednesday at station1640 alongside @adamauburn nopantspartydjs & Fat Jordan. Can’t wait! #vanillaace #losangelesnightlife #techhouse… https://www.instagram.com/p/BqpzNMHnqxn/?utm_source=ig_twitter_share&igshid=z7kvzuct2ou5 …,VanillaAce1,Mon Nov 26 18:11:19 +0000 2018,#vanillaace #losangelesnightlife #techhouse,the last show of my fire in the disco tour is this wednesday at station1640 alongside nopantspartydjs fat jordan can t wait #vanillaace #losangelesnightlife #techhouse http www instagram com p bqpznmhnqxn utm source ig twitter share igshid z7kvzuct2ou5,0
"s/o to @owsla for the fire fit @Los Angeles, California https://www.instagram.com/p/Bqpo2CPAL1-/?utm_source=ig_twitter_share&igshid=awwcao6zm6zy …",juliandeguz413,Mon Nov 26 16:40:39 +0000 2018,,s o to for the fire fit angeles california http www instagram com p bqpo2cpal1 utm source ig twitter share igshid awwcao6zm6zy,0
November 26th 2018 Mama Morning News . Yahoo News: US agents fire tear gas as some migrants try to breach… https://www.instagram.com/p/Bqpl8WHnJWv/?utm_source=ig_twitter_share&igshid=19h18c44cobc6 …,iamKOCali,Mon Nov 26 16:17:08 +0000 2018,,november 26th 2018 mama morning news yahoo news u agent fire tear gas a some migrant try to breach http www instagram com p bqpl8whnjwv utm source ig twitter share igshid 19h18c44cobc6,0
OG Teens . . . . #clones #clonesonfire #cannabis #weed #weedporn #instaweed #plants #og #roots #fire #marijuana #cannabiscommunity #weedstagram #ganja #cbd #thc #kush #smoke #sativa… https://www.instagram.com/p/BqphNQRHEiM/?utm_source=ig_twitter_share&igshid=1w3cdqgehbfbm …,Clonesonfire,Mon Nov 26 15:33:59 +0000 2018,#clones #clonesonfire #cannabis #weed #weedporn #instaweed #plants #og #roots #fire #marijuana #cannabiscommunity #weedstagram #ganja #cbd #thc #kush #smoke #sativa,og teen #clones #clonesonfire #cannabis #weed #weedporn #instaweed #plants #og #roots #fire #marijuana #cannabiscommunity #weedstagram #ganja #cbd #thc #kush #smoke #sativa http www instagram com p bqphnqrheim utm source ig twitter share igshid 1w3cdqgehbfbm,0
Super proud of thereallabrea and how new project is coming out her new music is absolutely #fire music fans #pulsarmusicwheremusicpulsates we are #RecordPeople doing… https://www.instagram.com/p/BqpZLVCB24S/?utm_source=ig_twitter_share&igshid=1g83f3kiuk4lm …,Pulsar007,Mon Nov 26 14:26:40 +0000 2018,#fire #pulsarmusicwheremusicpulsates #RecordPeople,super proud of thereallabrea and how new project is coming out her new music is absolutely #fire music fan #pulsarmusicwheremusicpulsates we are #recordpeople doing http www instagram com p bqpzlvcb24s utm source ig twitter share igshid 1g83f3kiuk4lm,0
#magnetic #meal #fire #torch #seabass #supreme #superb #blessed #health #wealth #food #foodie #truecooks #hollywood #woodlandhills #private #dining #onelove #spreadlove #divine #dining… https://www.instagram.com/p/BqpGA36B7Zc/?utm_source=ig_twitter_share&igshid=1l4gkg1c0yuim …,tonymagnetic,Mon Nov 26 11:54:32 +0000 2018,#magnetic #meal #fire #torch #seabass #supreme #superb #blessed #health #wealth #food #foodie #truecooks #hollywood #woodlandhills #private #dining #onelove #spreadlove #divine #dining,#magnetic #meal #fire #torch #seabass #supreme #superb #blessed #health #wealth #food #foodie #truecooks #hollywood #woodlandhills #private #dining #onelove #spreadlove #divine #dining http www instagram com p bqpga36b7zc utm source ig twitter share igshid 1l4gkg1c0yuim,0
Beautiful day in LA! A few days of rain up north cleared the air and helped fire containment. A lot for which to be thankful. • #losangeles… https://www.instagram.com/p/BqooBkFHBLj/?utm_source=ig_twitter_share&igshid=5rpq752tid6r …,J_wiggitywack,Mon Nov 26 07:14:16 +0000 2018,#losangeles,beautiful day in la a few day of rain up north cleared the air and helped fire containment a lot for which to be thankful #losangeles http www instagram com p bqoobkfhblj utm source ig twitter share igshid 5rpq752tid6r,0
It’s my closest music friends turn to fire up the Wish Bus USA! shekinah_austria - Nov26 9pm @luchobeech - Nov28 7pm Catch them on Livestream or at the venue! #singerfriends #wishbus… https://www.instagram.com/p/BqoeGdjAOkZ/?utm_source=ig_twitter_share&igshid=9j35u7x3pci6 …,GarthGarcia,Mon Nov 26 05:47:59 +0000 2018,#singerfriends #wishbus,it s my closest music friend turn to fire up the wish bus usa shekinah austria nov26 9pm nov28 7pm catch them on livestream or at the venue #singerfriends #wishbus http www instagram com p bqoegdjaokz utm source ig twitter share igshid 9j35u7x3pci6,0
"Still. Life. #longday #afterwork #art #fire #roses #content #wine #love @Los Angeles, California https://www.instagram.com/p/BqoU3gbHqHk/?utm_source=ig_twitter_share&igshid=131pjarpxvvad …",TamaraBerg,Mon Nov 26 04:26:52 +0000 2018,#longday #afterwork #art #fire #roses #content #wine #love,still life #longday #afterwork #art #fire #roses #content #wine #love angeles california http www instagram com p bqou3gbhqhk utm source ig twitter share igshid 131pjarpxvvad,0
"Pizza... Fire Roasted Mushrooms, garlic cream, onions, truffled pecorino... #pizza #love #cooking #chef #life #bakingsteel #simple #good #food @Los Angeles, California https://www.instagram.com/p/BqoNTT0hrJy/?utm_source=ig_twitter_share&igshid=13uncgxa5ajiy …",porkbellyslider,Mon Nov 26 03:20:46 +0000 2018,#pizza #love #cooking #chef #life #bakingsteel #simple #good #food,pizza fire roasted mushroom garlic cream onion truffled pecorino #pizza #love #cooking #chef #life #bakingsteel #simple #good #food angeles california http www instagram com p bqontt0hrjy utm source ig twitter share igshid 13uncgxa5ajiy,0
Was talking to some friends today how “FIRE” became such a part of my http://life.It started with Vince lighting me on fire when we were a club band....If I was ever to tour again doing… https://www.instagram.com/p/BqoLp81DM4L/?utm_source=ig_twitter_share&igshid=t1ayyqrvls8q …,NikkiSixx,Mon Nov 26 03:10:59 +0000 2018,,wa talking to some friend today how fire became such a part of my http life it started with vince lighting me on fire when we were a club band if i wa ever to tour again doing http www instagram com p bqolp81dm4l utm source ig twitter share igshid t1ayyqrvls8q,0
"Mieko and hapakay little backyard fire pit @West Covina, California https://www.instagram.com/p/BqoGnuvl6N-4-qBS8cuw8vNVWH0XdwQVKE3XCo0/?utm_source=ig_twitter_share&igshid=1kts7jdoq51cy …",kamikazihiphop,Mon Nov 26 02:22:24 +0000 2018,,mieko and hapakay little backyard fire pit covina california http www instagram com p bqognuvl6n 4 qbs8cuw8vnvwh0xdwqvke3xco0 utm source ig twitter share igshid 1kts7jdoq51cy,0
"Hey #Seminole Fire Survivors, it’s time to reveal Upper Ojai Relief’s #Project101. 101 of your 215 homes, including their address markers, were burnt to the ground. The homes are… https://www.instagram.com/p/Bqn-hcwgeCj/?utm_source=ig_twitter_share&igshid=1hgn6idru4x0w …",quirklawyers,Mon Nov 26 01:11:35 +0000 2018,#Seminole #Project101,hey #seminole fire survivor it s time to reveal upper ojai relief s #project101 101 of your 215 home including their address marker were burnt to the ground the home are http www instagram com p bqn hcwgecj utm source ig twitter share igshid 1hgn6idru4x0w,0
"After the fires here in Calabasas and Malibu, helping neighbors evacuate, and seeing the many who lost Everything, I am grateful for my family, friends, clients, opportunities, and… https://www.instagram.com/p/Bqn8QauBqRr/?utm_source=ig_twitter_share&igshid=1klka0auml1pg …",TheSiretskiyOrg,Mon Nov 26 00:51:58 +0000 2018,,after the fire here in calabasas and malibu helping neighbor evacuate and seeing the many who lost everything i am grateful for my family friend client opportunity and http www instagram com p bqn8qaubqrr utm source ig twitter share igshid 1klka0auml1pg,0
December 9th @liferollson has decided to donate proceeds to families affected by the Malibu Fire! Come out and support a great cause with some amazing musicians at the Rose Room in Venice… https://www.instagram.com/p/Bqn3MyYn7RX/?utm_source=ig_twitter_share&igshid=1d4ovsbjziivw …,Cali_Conscious,Mon Nov 26 00:07:36 +0000 2018,,december 9th ha decided to donate proceeds to family affected by the malibu fire come out and support a great cause with some amazing musician at the rose room in venice http www instagram com p bqn3myyn7rx utm source ig twitter share igshid 1d4ovsbjziivw,0
"We have set aside FREE Tickets for our Full Moon Mercury in Retrograde Sound Bath Tonight 8pm moorecardiodance, anyone who was affected by the fires . Message us for details .… https://www.instagram.com/p/Bqniv9snlps/?utm_source=ig_twitter_share&igshid=y9s4gfalm6vz …",ananetanel,Sun Nov 25 21:09:19 +0000 2018,,we have set aside free ticket for our full moon mercury in retrograde sound bath tonight 8pm moorecardiodance anyone who wa affected by the fire message u for detail http www instagram com p bqniv9snlps utm source ig twitter share igshid y9s4gfalm6vz,0
"Anyone else reading Fire & Blood yet? It’s badass! [Tap to grab the last George RR Martin pin!] @Los Angeles, California https://www.instagram.com/p/Bqniy3Rn-ln/?utm_source=ig_twitter_share&igshid=vu1rkywer9iv …",nerdpins,Sun Nov 25 21:09:18 +0000 2018,,anyone else reading fire blood yet it s badass tap to grab the last george rr martin pin angeles california http www instagram com p bqniy3rn ln utm source ig twitter share igshid vu1rkywer9iv,0
2 on da road!! #12oclock #prodigalsunn back in 2000 up in my family studio _bigroc! One illest producer our Harlem. Laying that fire on some fire heat! Thanks _bigroc for the classic… https://www.instagram.com/p/BqnhciLlFZY/?utm_source=ig_twitter_share&igshid=1rtq6v9zqa8iy …,ProdigalSunn,Sun Nov 25 20:58:08 +0000 2018,#12oclock #prodigalsunn,2 on da road #12oclock #prodigalsunn back in 2000 up in my family studio bigroc one illest producer our harlem laying that fire on some fire heat thanks bigroc for the classic http www instagram com p bqnhcillfzy utm source ig twitter share igshid 1rtq6v9zqa8iy,0
"Insta-giving series : First - I am incredibly grateful to have come through many fires over the last few years. There has been a lot of destruction and devastating, Shock and adjustment. -… https://www.instagram.com/p/BqnhV2YA_Yh/?utm_source=ig_twitter_share&igshid=gcstagqmt0kc …",robsongs,Sun Nov 25 20:56:37 +0000 2018,,insta giving series first i am incredibly grateful to have come through many fire over the last few year there ha been a lot of destruction and devastating shock and adjustment http www instagram com p bqnhv2ya yh utm source ig twitter share igshid gcstagqmt0kc,0
"NEW STRAIN ALERT come stop by and check out this dank new strain Spacewalker O.G. !! #dank #fire #cannabis #indica #friends @Los Angeles, California https://www.instagram.com/p/BqngH4uHPpv/?utm_source=ig_twitter_share&igshid=1mri9rw6ogd0u …",CSECONDKINGDOM,Sun Nov 25 20:46:00 +0000 2018,#dank #fire #cannabis #indica #friends,new strain alert come stop by and check out this dank new strain spacewalker o g #dank #fire #cannabis #indica #friends angeles california http www instagram com p bqngh4uhppv utm source ig twitter share igshid 1mri9rw6ogd0u,0
